,discriminator_loss,discriminator_xpred_loss,discriminator_yfake_loss,discriminator_yreal_loss,generator_loss,generator_xpred_loss,generator_yfake_loss,generator_yreal_loss,loss,val_discriminator_loss,val_discriminator_xpred_loss,val_discriminator_yfake_loss,val_discriminator_yreal_loss,val_generator_loss,val_generator_xpred_loss,val_generator_yfake_loss,val_generator_yreal_loss,val_loss
82,6.511424146460358,0.6511301281889514,0.6071590058196931,0.6199420154447386,6.511460755703717,0.6511301281889514,0.7872402308255257,0.8063787899073764,13.022884786481688,6.514772842670309,0.6514649859790145,0.6053735071215136,0.6254961354979154,6.514809009946625,0.6514649859790145,0.7893728942706667,0.7995793104171753,13.029581642150879
83,6.510881883858223,0.6510758964267708,0.6080722128145793,0.6208384037017822,6.510918016264425,0.6510758964267708,0.7861479263333879,0.805238981218733,13.021799900122648,6.514250143643083,0.6514127118834134,0.6062766436872811,0.6263927525487439,6.5142856236161855,0.6514127118834134,0.78828834747446,0.7984590028894358,13.028535711354223
84,6.510354606357552,0.6510231706517688,0.6089718913185526,0.62172168704885,6.51039044250398,0.6510231706517688,0.785073975134178,0.8041169435314878,13.020744933179145,6.513741762884732,0.6513618366471652,0.6071664884172637,0.627275549543315,6.513776766020676,0.6513618366471652,0.7872219537866527,0.7973568838218162,13.027518528905409
85,6.509841930231399,0.6509718704505785,0.6098581700635379,0.6225920118523772,6.509877470118054,0.6509718704505785,0.7840180502840753,0.8030124398378226,13.019719400349453,6.51324778589709,0.6513123849342609,0.6080433393346852,0.6281447299595537,6.51328210172982,0.6513123849342609,0.7861730978406709,0.7962726165508401,13.026530153998014
86,6.509343260138698,0.6509219795994504,0.6107313230898254,0.6234495780877107,6.509378438870582,0.6509219795994504,0.7829797860433364,0.801925125206716,13.018721879586666,6.512765966612717,0.6512641935512937,0.6089072753643168,0.6290004672675297,6.512800226540401,0.6512641935512937,0.785141685091216,0.7952060415826995,13.025566403619175
87,6.508857230462971,0.6508733644287967,0.6115914646690414,0.6242944809812061,6.508891842069005,0.6508733644287967,0.7819588843887374,0.8008547224236663,13.017749097925671,6.512297288302718,0.6512173204586423,0.6097586487901622,0.6298429456250421,6.512330860927187,0.6512173204586423,0.7841272140371388,0.7941566434399835,13.024628093324859
88,6.508384797700058,0.6508260975927996,0.6124388991728337,0.6251269896354901,6.508418842180241,0.6508260975927996,0.7809549700578994,0.7998009510999601,13.016803820457683,6.5118405999808475,0.6511716674114095,0.6105974912643433,0.6306724227707962,6.511874172605317,0.6511716674114095,0.7831294849001128,0.7931241960361086,13.0237144075591
89,6.507924102467193,0.6507800161485842,0.6132737475739428,0.6259472408943628,6.5079580566586825,0.6507800161485842,0.7799677965203686,0.7987634888767491,13.015882249414569,6.511395776682886,0.6511271731606845,0.6114240884780884,0.6314890265464783,6.511429349307356,0.6511271731606845,0.7821481540285308,0.7921084679406265,13.022825070085197
90,6.507475339449369,0.6507351363198997,0.6140962740373329,0.6267554139244486,6.507509062276084,0.6507351363198997,0.7789969289091212,0.7977420246812719,13.014984311436761,6.510963042029019,0.6510838586708595,0.6122386595298503,0.6322928938372382,6.510995927350274,0.6510838586708595,0.781182730608973,0.7911090822055422,13.02195917984535
91,6.5070378512320435,0.6506913759299284,0.614906637978977,0.6275516392211237,6.507071483770066,0.6506913759299284,0.7780420818977808,0.7967363603016329,13.014109335002109,6.510541610060067,0.6510416783135513,0.6130413746011668,0.6330843822709445,6.5105737521730624,0.6510416783135513,0.7802331357166685,0.7901256688709917,13.021115362233129
92,6.506612283943673,0.6506487882348913,0.6157050633571557,0.6283361502653043,6.506645194172154,0.6506487882348913,0.777102970512661,0.7957461620928973,13.013257478115827,6.510129925300335,0.6510005112352042,0.6138323492017286,0.6338635128119896,6.510161590576172,0.6510005112352042,0.779298997747487,0.7891581264035455,13.020291571781554
93,6.506197153463871,0.6506072378017493,0.6164917547321884,0.6291090941288062,6.506229380884114,0.6506072378017493,0.7761792854444515,0.7947711158080919,13.012426444059294,6.509728842768176,0.6509603977203369,0.6146119183507459,0.6346306554202376,6.509760508044013,0.6509603977203369,0.7783799537296953,0.7882059200056668,13.019489406717234
94,6.505792138139172,0.6505667327423773,0.6172668457736631,0.6298707025290946,6.505824275270721,0.6505667327423773,0.7752707399560149,0.7938109347100794,13.011616413409893,6.50933731013331,0.6509212325359213,0.6153801626172559,0.6353858890204594,6.509368975409146,0.6509212325359213,0.7774757249601956,0.787268904159809,13.018705920515389
95,6.505397006604799,0.6505272021660438,0.6180306281563799,0.6306210900904864,6.505428937765268,0.6505272021660438,0.7743769457354348,0.7928654639678594,13.010825918976371,6.508956057449867,0.6508831139268546,0.6161373010997114,0.636129406402851,6.508987722725704,0.6508831139268546,0.7765860783642736,0.7863467405582296,13.01794425701273
96,6.505011629070756,0.650488668644922,0.6187832098035417,0.6313604581990891,6.505043444548838,0.650488668644922,0.7734977095084783,0.7919342281550346,13.010055163908287,6.508583611455457,0.6508458244389501,0.6168835179559116,0.6368614389978606,6.508614323056977,0.6508458244389501,0.7757106912547145,0.785439211746742,13.0171982995395
97,6.504635336836414,0.6504510355418955,0.6195248273702768,0.6320889729719895,6.5046666105823405,0.6504510355418955,0.7726327075055365,0.7910170999504406,13.009301676552676,6.508220968575313,0.650809514933619,0.6176190392724399,0.6375821183467734,6.508250726502517,0.650809514933619,0.7748492779402897,0.7845459584532113,13.016471639172785
98,6.504268412053937,0.6504143092053882,0.6202556437994602,0.6328067920617098,6.50429902838532,0.6504143092053882,0.7717815789245289,0.790113849047373,13.00856759562295,6.507866178709885,0.65077403454945,0.6183439912467167,0.6382917301408175,6.507895936637089,0.65077403454945,0.7740015473859063,0.78366675623532,13.015761750319909
99,6.5039104173874716,0.6503784913988508,0.6209759020946435,0.6335141108586237,6.5039409180364665,0.6503784913988508,0.7709441625860316,0.7892241657838314,13.00785142571263,6.5075195509811925,0.6507393693101817,0.6190586246293167,0.6389903269965073,6.507549308908397,0.6507393693101817,0.7731672208884667,0.7828014402553953,13.015068803984544
