	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0	-0.999989	-0.9999933	0.9999042	-0.9999898	0.99998313	-0.9999934	0.99998736	-0.9999934	0.9999962	-0.99999666	-0.9999908	0.9999924	0.9999907	-0.99999315	-0.99998933	0.9999946	-0.99998957	0.9999965	-0.9999851	-0.99999	0.9999951	0.9999889	-0.999962	-0.99998116	-0.9999894	-0.9999863	0.99997056	-0.9999774	0.9999899	0.99999297	-0.9999859	0.99998945	-0.99998754	-0.9999579	-0.9999955	0.9999882	-0.9999915	-0.9999946	-0.99998915	-0.99999475	-0.9999856	0.9999955	0.9999966	-0.9999901	-0.99998903	-0.99998176	-0.99998534	-0.99998933	0.9999955	-0.99999285
1	-0.9999907	-0.9999886	0.9999731	-0.9999723	0.99998605	-0.9999894	0.9999782	-0.9999906	0.99998343	-0.9999665	-0.99996316	0.9999759	0.9999621	-0.999984	-0.9999878	0.99998844	-0.999982	0.9999916	-0.99998975	-0.99994946	0.99999714	0.9999814	-0.9999617	-0.99998325	-0.9999722	-0.99982613	0.99997	-0.9998982	0.99998254	0.9999876	-0.99992263	0.9999933	-0.9999724	-0.99998873	-0.99998015	0.999987	-0.99999154	-0.99998724	-0.99996495	-0.9999715	-0.9999794	0.9999953	0.9999904	-0.9999945	-0.9999885	-0.9999869	-0.99999386	-0.99995345	0.9999787	-0.9999689
2	-0.99998796	-0.99998236	0.9999648	-0.9999952	0.99997336	-0.99998647	0.999956	-0.9999944	0.99998355	-0.99997354	-0.9999637	0.99998593	0.99998	-0.9999875	-0.9999928	0.9999847	-0.9999954	0.9999917	-0.9999918	-0.9999786	0.99999475	0.99999446	-0.99997044	-0.9999905	-0.9999914	-0.9999521	0.99997634	-0.9999353	0.9999949	0.99999267	-0.9999653	0.9999906	-0.9999857	-0.99998814	-0.99996984	0.99998057	-0.9999969	-0.99997926	-0.9999912	-0.99998605	-0.99996316	0.999967	0.99998635	-0.9999906	-0.9999908	-0.9999943	-0.9999908	-0.9999499	0.9999877	-0.99998504
3	-0.99996394	-0.9999646	0.99992925	-0.999962	0.9999888	-0.99990344	0.99994147	-0.9999863	0.9999221	-0.99992657	-0.9999547	0.9999792	0.9999777	-0.9999863	-0.9999742	0.99997044	-0.9999724	0.99998444	-0.9999894	-0.9999633	0.9999291	0.9999524	-0.9999794	-0.99998045	-0.9999845	-0.99989533	0.99990684	-0.999924	0.9999535	0.99998116	-0.9999854	0.9999606	-0.9999592	-0.9999623	-0.99995875	0.99999136	-0.99999183	-0.9999697	-0.99998844	-0.99996406	-0.99995035	0.9999484	0.99996096	-0.9999437	-0.99999213	-0.99992263	-0.99995595	-0.99995756	0.9999757	-0.9999814
4	-0.9999937	-0.9999831	0.9999802	-0.9999876	0.99999547	-0.99998766	0.99998814	-0.9999984	0.9999824	-0.99999213	-0.9999964	0.9999837	0.99998647	-0.9999942	-0.9999934	0.99998707	-0.9999918	0.99999136	-0.99998486	-0.9999914	0.99996835	0.99999094	-0.99998367	-0.9999924	-0.9999883	-0.99999267	0.99998695	-0.9999454	0.9999717	0.99998665	-0.9999922	0.9999926	-0.9999817	-0.99997926	-0.99999636	0.99999577	-0.99999565	-0.9999924	-0.99999267	-0.99998397	-0.99995655	0.9999962	0.9999894	-0.9999945	-0.99999136	-0.9999977	-0.9999894	-0.99999154	0.9999946	-0.9999954
5	-0.9999943	-0.99998724	0.99999243	-0.9999847	0.999994	-0.99999595	0.9999981	-0.99999934	0.9999962	-0.99999446	-0.99999547	0.99997365	0.9999565	-0.99998915	-0.99999243	0.99999344	-0.99999106	0.9999945	-0.9999879	-0.99999356	0.9999911	0.9999968	-0.99998486	-0.99999756	-0.9999799	-0.9999784	0.99998814	-0.99998343	0.99999267	0.9999965	-0.9999984	0.99998206	-0.99996775	-0.9999739	-0.99998766	0.999996	-0.9999969	-0.9999934	-0.9999957	-0.9999913	-0.9999516	0.999998	0.99999124	-0.9999918	-0.99999875	-0.9999887	-0.9999827	-0.99998444	0.9999941	-0.9999979
6	-0.9999828	-0.9999755	0.99989414	-0.9999638	0.99999326	-0.99998856	0.9999734	-0.9999968	0.99991316	-0.9999882	-0.9999835	0.9999795	0.99996895	-0.99997854	-0.9999906	0.9999849	-0.9999871	0.99998426	-0.9999961	-0.99996096	0.99998283	0.99998903	-0.99996537	-0.9999954	-0.9999715	-0.99998575	0.9999839	-0.9999628	0.9999926	0.99996877	-0.99998915	0.9999849	-0.99995726	-0.9999696	-0.9999919	0.9999963	-0.99999285	-0.99999785	-0.99997616	-0.99999	-0.99996185	0.9999905	0.9999848	-0.9999491	-0.999996	-0.9999931	-0.9999985	-0.99996465	0.9999752	-0.99997175
7	-0.9999109	-0.99991345	0.9998554	-0.9999117	0.9999382	-0.9999638	0.9999785	-0.9999519	0.99985397	-0.9999343	-0.9999122	0.9999144	0.99997985	-0.9999565	-0.99988747	0.99994326	-0.9998848	0.9999649	-0.9999827	-0.99991137	0.9999149	0.99996746	-0.99986017	-0.99998385	-0.9999857	-0.999858	0.99977994	-0.99994576	0.99996865	0.99993485	-0.9999593	0.9999689	-0.99997133	-0.9999535	-0.9999227	0.99994993	-0.99997324	-0.99996084	-0.9999712	-0.999946	-0.99987525	0.9998393	0.99992216	-0.99996006	-0.9999681	-0.99996245	-0.9998653	-0.99989176	0.9999702	-0.9999491
8	-0.99999213	-0.999975	0.9999148	-0.99997705	0.9999767	-0.999982	0.9999788	-0.99999225	0.9999868	-0.99998736	-0.9999894	0.99995774	0.9999737	-0.9999772	-0.9999847	0.9999815	-0.9999906	0.99998814	-0.9999952	-0.99999106	0.99998564	0.9999896	-0.99998564	-0.9999966	-0.99999017	-0.99998724	0.9999894	-0.99998444	0.9999949	0.99998444	-0.9999942	0.9999866	-0.99998426	-0.9999889	-0.99999243	0.99999076	-0.9999927	-0.9999933	-0.99998456	-0.999993	-0.9999651	0.9999945	0.9999928	-0.9999581	-0.99998766	-0.9999874	-0.99998367	-0.9999793	0.9999758	-0.9999947
9	-0.9999942	-0.99998486	0.9999793	-0.99998474	0.9999849	-0.9999935	0.9999931	-0.9999942	0.9999878	-0.99998915	-0.99999523	0.9999855	0.9999958	-0.9999928	-0.99999297	0.9999905	-0.999992	0.99999464	-0.9999951	-0.9999961	0.99999106	0.9999907	-0.99999046	-0.99999744	-0.99998116	-0.99998295	0.9999796	-0.999989	0.99999166	0.99999803	-0.9999914	0.9999852	-0.9999922	-0.9999918	-0.9999849	0.9999956	-0.99999434	-0.9999942	-0.9999952	-0.99998975	-0.99992687	0.99999756	0.9999836	-0.9999894	-0.9999951	-0.9999868	-0.9999874	-0.9999767	0.99998474	-0.9999856
